shipment_id,order_id,ship_date,carrier,status
SHP-0101-000001-0,ORD-0101-00000,2026-07-19 19:54:30,FedEx,shipped
SHP-0101-000003-0,ORD-0101-00002,2026-07-16 11:12:04,USPS,shipped
SHP-0101-000004-0,ORD-0101-00003,2026-07-24 15:19:52,FedEx,delivered
SHP-0101-000006-0,ORD-0101-00004,2026-07-19 14:13:03,USPS,shipped
SHP-0101-000007-0,ORD-0101-00005,2026-07-22 14:16:21,USPS,delivered
SHP-0101-000008-0,ORD-0101-00006,2026-07-20 03:21:09,FedEx,delivered
SHP-0101-000009-0,ORD-0101-00007,2026-07-11 06:22:29,DHL,delivered
SHP-0101-000012-0,ORD-0101-00008,2026-07-17 20:06:17,FedEx,delivered
SHP-0101-000013-0,ORD-0101-00009,2026-07-09 04:39:10,FedEx,shipped
SHP-0101-000014-0,ORD-0101-00010,2026-07-07 04:26:28,UPS,shipped
SHP-0101-000015-0,ORD-0101-00011,2026-07-24 14:31:09,FedEx,delivered
SHP-0101-000016-0,ORD-0101-00012,2026-07-27 06:25:58,DHL,shipped
SHP-0101-000016-1,ORD-0101-00012,2026-07-27 06:25:58,USPS,delivered
SHP-0101-000018-0,ORD-0101-00013,2026-07-22 18:15:30,DHL,delivered
SHP-0101-000022-0,ORD-0101-00015,2026-07-06 03:46:34,FedEx,delivered
SHP-0101-000022-1,ORD-0101-00015,2026-07-06 03:46:34,DHL,shipped
SHP-0101-000023-0,ORD-0101-00016,2026-07-10 21:10:35,FedEx,shipped
SHP-0101-000024-0,ORD-0101-00017,2026-07-08 00:57:27,UPS,shipped
SHP-0101-000025-0,ORD-0101-00018,2026-07-08 10:04:56,DHL,shipped
SHP-0101-000026-0,ORD-0101-00019,2026-07-29 23:13:13,DHL,shipped
SHP-0101-000027-0,ORD-0101-00020,2026-07-24 13:06:50,USPS,shipped
SHP-0101-000027-1,ORD-0101-00020,2026-07-24 13:06:50,DHL,shipped
SHP-0101-000028-0,ORD-0101-00021,2026-07-15 05:29:44,USPS,shipped
SHP-0101-000029-0,ORD-0101-00022,2026-07-21 13:35:08,FedEx,delivered
SHP-0101-000030-0,ORD-0101-00023,2026-07-26 00:00:42,FedEx,shipped
SHP-0101-000031-0,ORD-0101-00024,2026-07-03 07:13:44,USPS,shipped
SHP-0101-000032-0,ORD-0101-00025,2026-07-19 18:46:46,UPS,shipped
SHP-0101-000034-0,ORD-0101-00026,2026-07-13 04:30:48,UPS,shipped
SHP-0101-000035-0,ORD-0101-00027,2026-07-22 02:48:32,DHL,shipped
SHP-0101-000037-0,ORD-0101-00029,2026-07-31 13:42:07,UPS,delivered
SHP-0101-000039-0,ORD-0101-00031,2026-07-28 14:13:31,FedEx,delivered
SHP-0101-000040-0,ORD-0101-00032,2026-07-28 20:48:28,USPS,delivered
SHP-0101-000041-0,ORD-0101-00033,2026-07-18 08:07:49,FedEx,shipped
SHP-0101-000042-0,ORD-0101-00034,2026-07-31 22:11:00,USPS,shipped
SHP-0101-000044-0,ORD-0101-00036,2026-07-22 02:02:35,UPS,shipped
SHP-0101-000045-0,ORD-0101-00037,2026-07-30 18:00:38,UPS,delivered
